key,name
compo_005292,Carissimi
compo_005293,"Carissimi, G."
compo_005293,Carissimi (G.)
compo_005294,"Carissimi, Giacomo"
compo_005295,"Carissimi, Gian Giacomo"
compo_005296,Carissimi (Giovan Giacomo)
compo_005297,"Carl, C."
compo_005299,"Carl, Ernestine"
compo_005300,"Carl, G."
compo_005301,"Carl, G.A."
compo_005302,"Carl, Johann"
compo_005303,"Carl, M."
compo_005303,Carl (M.)
compo_005303,M. Carl
compo_005303,"Carl,"
compo_005304,"Carl, W."
compo_005306,"Carlberg, G."
compo_005307,"Carletti, C."
compo_005308,Carli (J.)
compo_005308,"Carli, J."
compo_005309,"Carlier, Xavier"
compo_005309,"Carlier, X."
compo_005310,Carlini (O.)
compo_005311,Carlo
compo_005312,"Carlo, Alfred"
compo_005313,"Carlo, P."
compo_005314,"Carlotta, F."
compo_005315,"Carlotti, G."
compo_005316,"Carlsen, Camillo"
compo_005317,"Carlt, G."
compo_005318,"Carman, M."
compo_005319,"Carman, Marius"
compo_005320,"Carmichael, M. G."
compo_005321,"Carmont, Ch. de"
compo_005321,"Carmont, Ch. de."
compo_005322,"Carmusci, D."
compo_005323,Carnazzi
compo_005324,"Carnelli, Giuseppe"
compo_005325,Prinz Carneval
compo_005325,"Carneval, Prinz"
compo_005326,Carnicer (D.R.)
compo_005327,"Caro, Ami"
compo_005328,"Caro, Paul"
compo_005329,"Caroli, A."
compo_005329,Caroli (A.)
compo_005330,"Caroli, C.D."
compo_005331,"Caroli, Carl D."
compo_005332,"Caroli, Carlo D."
compo_005333,Carolus
compo_005334,"Caron, C."
compo_005335,"Caron, Camille"
compo_005336,"Caron, Lucien"
compo_005337,"Caronna, Pier"
compo_005338,"Caroselli, A."
compo_005339,Carpantier (Ad.)
compo_005340,"Carr, F. Osmond"
compo_005341,"Carr, Osmond"
compo_005342,"Carrara, F.M."
compo_005343,"Carreno, T."
compo_005344,Carrer (P.)
compo_005344,"Carrer, P."
compo_005345,"Carreño, T."
compo_005346,"Carreño, Teresa"
compo_005347,"Carri, Ferdinand"
compo_005348,"Carri, Hermann"
compo_005349,"Carré, Oskar"
compo_005350,Carstens (Carl)
compo_005351,Cartagenova (G.O.)
compo_005352,"Carter, Charles D."
compo_005353,"Carter, R. Kelso"
compo_005354,"Cartol, H."
compo_005355,Carulli
compo_005356,"Carulli, B."
compo_005356,"Carulli,"
compo_005356,Carulli (B.)
compo_005357,Carulli (Ben.)
compo_005358,Carulli (C.)
compo_005359,Carulli (F.)
compo_005359,"Carulli, F."
compo_005360,Carulli (Ferd.)
compo_005360,"Carulli, Ferd."
compo_005361,"Carulli, Ferdynand"
compo_005362,Carulli (G.)
compo_005363,Carulli (Gust.)
compo_005363,"Carulli, Gust."
compo_005364,Carulli (P.)
compo_005365,Carus (E.F.S.)
compo_005366,"Carvajal, Carlos Finck"
compo_005367,Carvalho (R.F. de)
compo_005367,"Carvalho, R.F. de"
compo_005367,"Carvalho, Ricardo F. de"
compo_005368,"Cary-Elwes, Gervase"
compo_005370,"Caryll, Ivan"
compo_005371,"Casabianu, Maria J."
compo_005372,"Casaglia, E."
compo_005373,Casali
compo_005374,Casamorata (J.F.)
compo_005375,Casamorata (L.F.)
compo_005376,Casamorata (L.J.)
compo_005377,"Casano, E. Poublon"
compo_005378,"Casanova-Biedermann, Madelaine"
compo_005379,"Casares, J.M."
compo_005380,"Casaretto, G."
compo_005381,"Casati, G."
compo_005382,"Casciolini, Claude"
compo_005382,"Casciolini, Ch."
compo_005382,"Casciolini, Cl."
compo_005382,Casciolini (Cl.)
compo_005383,"Casella, C."
compo_005384,"Casella, C.A. de"
compo_005386,"Casella Fils, César"
compo_005386,"Casella, César Fils"
compo_005387,"Casella, P."
compo_005389,Casorti
compo_005390,"Casorti, A."
compo_005390,Casorti (A.)
compo_005390,A. Casorti
compo_005391,"Casorti jun., Alessandro"
compo_005392,"Casorti, Alex."
compo_005393,"Casorti, Aug."
compo_005393,Casorti (Aug.)
compo_005394,"Caspar, C.A."
compo_005396,"Caspari, Andreas"
compo_005397,"Caspary, A.M."
compo_005398,"Caspers, H."
compo_005399,"Casperschock, R."
compo_005400,Casperschock (Rud.)
compo_005401,"Cassano, Nicola"
compo_005402,"Cassel, Paulus"
compo_005403,"Cassimir, Heinrich"
compo_005404,"Cast, J.G."
compo_005405,Castagneri (Clem.)
compo_005406,Castelbarco (C. de)
compo_005407,Castelbarco (Conte Cesare de)
compo_005408,"Castelli, F."
compo_005409,"Castelli, Fr."
compo_005410,"Castelli, G."
compo_005411,"Castillo, César del"
compo_005412,"Castillon, A. de"
compo_005413,"Castillon, Alexis de"
compo_005414,"Castoldi, C."
compo_005415,Castoldi (L.)
compo_005416,Castrioto-Scanderbeg (W.)
compo_005417,Castrioto-Scanderbeg (le Prince)
compo_005418,"Castro, Ricardo"
compo_005419,"Catalani, A."
compo_005420,"Catalani, Mme"
compo_005421,"Catalano, Franç."
compo_005422,"Catalano, G."
compo_005423,Catel
compo_005424,"Catelani, A."
compo_005425,"Catenhusen, E."
compo_005426,"Catenhusen, Ernst"
compo_005427,Catilla (Caj.)
compo_005428,"Catoire, G."
compo_005429,"Catolla, Rob."
compo_005430,Catrufo
compo_005431,"Cattanei, Carlo"
compo_005432,Cattaneo (Ant.)
compo_005433,"Cattaneo, T."
compo_005434,"Cattaneo, V."
compo_005435,Cattus (A.E.W.)
compo_005436,Catus
compo_005437,"Cauchie, F."
compo_005438,"Caudella, E."
compo_005439,"Caudella, Ed."
compo_005440,"Caussinus, V."
compo_005441,"Cauvain, J.B."
compo_005442,"Cavadia, G."
compo_005443,"Cavalieri, C."
compo_005444,"Cavalli, E."
compo_005445,"Cavalli, Fr."
compo_005446,Cavallini
compo_005447,Cavallini (E.)
compo_005447,"Cavallini, E."
compo_005448,Cavallini (Ern.)
compo_005449,Cavallini (F.)
compo_005451,"Cavallo, Joh. N."
compo_005451,"Cavallo, J.N."
compo_005451,"Cavallo, Joh.N."
compo_005451,Cavallo (Joh. N.)
compo_005452,Cavallo (P.)
compo_005453,Cavallo (Pierre)
compo_005454,Cavallo (V.)
compo_005455,"Cavazza, Ercole"
compo_005456,"Caviezel, Adelgott"
compo_005457,Cavigny
compo_005459,"Cavigny, Ant."
compo_005459,Cavigny (Ant.)
compo_005460,"Cavini, A."
compo_005461,Cavos
compo_005462,"Cazaux, Ch."
compo_005463,"Cebrian, Adolf"
compo_005463,"Cebrian, Ad."
compo_005463,"Cebrian, Adolph"
compo_005463,"Cebrian, Adolph."
compo_005463,Cebrian (Ad.)
compo_005463,"Cebrian, A."
compo_005464,Ceccarini (Cl. P.)
compo_005465,"Cefmá, Alfred"
compo_005466,"Celega, N."
compo_005467,"Celega, Nicoló"
compo_005467,"Celega, Nicolo"
compo_005468,"Celli, A.M."
compo_005469,"Celli, Ad. M."
compo_005470,Celli (F.)
compo_005471,"Celli, M."
compo_005472,"Cellier, Alfred"
compo_005473,"Cenerelli, Virginia"
compo_005474,"Centeno, Antonio"
compo_005475,"Centola, E."
compo_005476,"Centola, Ernesto"
