publ_0133,Auteur
publ_0134,Autor
publ_0135,R. v. Auw (in Comm.)
publ_0136,Avenarius
publ_0137,Axt
publ_0138,v. Baalen u. Zonen
publ_0139,Babenzien
publ_0140,Bach
publ_0141,Bach-Gelpke
publ_0142,Bach-Gesellschaft
publ_0143,Bachelier
publ_0144,Bachem
publ_0145,Bachm
publ_0145,Bachmann
publ_0146,B. et Nagel
publ_0146,B. u. Nagel
publ_0146,Bachmann et N
publ_0146,Bachmann u. N
publ_0146,Bachmann u. Nagel
publ_0146,Bachmann und Nagel
publ_0147,Bachmann in Comm
publ_0148,Bach’sche Buchhandl
publ_0149,Back
publ_0150,Bacmeister
publ_0151,Bade
publ_0152,Bader
publ_0153,Baedeker
publ_0154,J. Baedeker
publ_0155,Baenge
publ_0156,Baensch
publ_0156,Bänsch
publ_0157,Baensch (in Comm.)
publ_0158,E. Baensch
publ_0159,Gebr. Bänsch
publ_0160,Baerecke
publ_0161,Bagel
publ_0162,Bagel & Schneider
publ_0163,F. Bagel
publ_0164,Bagel’s Sort
publ_0165,Bagge
publ_0166,Bahn
publ_0167,Bahn (Commissions-Verlag)
publ_0168,Bahn (in Comm.)
publ_0169,M. Bahn
publ_0170,Bahnmaier
publ_0170,Bahnmair
publ_0171,Baier & Co
publ_0172,Balde
publ_0173,Baldi
publ_0174,Ballhorn & Cramer
publ_0175,Ballien
publ_0176,Bambas
publ_0177,Band
publ_0178,Bandtlow
publ_0179,Bangel u. Schmitt
publ_0180,Banger
publ_0181,Banger Nachf
publ_0182,Bannier
publ_0183,Barasch
publ_0184,Barnewitz
publ_0186,Barschall
publ_0187,Bartelmus u. Co
publ_0188,Bartels
publ_0189,Barth
publ_0190,Barth & F
publ_0190,Barth & Fr
publ_0190,Barth & Fritze
publ_0191,Barthel
publ_0192,Barthol & Co
publ_0193,Bartholomäus
publ_0194,Basse
publ_0195,Bassermann
publ_0196,Bathlot
publ_0197,Bathlot & Vve Héraud
publ_0198,Bauch
publ_0199,Bauer
publ_0200,Bauer & Co
publ_0201,Bauer u. Raspe
publ_0202,Bauerfeld
publ_0203,Bauerkeller u. Gutsch
publ_0204,Bauhof
publ_0205,Baumann
publ_0206,Baumeister
publ_0207,Baumgartner
publ_0208,Baumgärtner
publ_0209,P. Baumgärtner
publ_0210,Baumgärtner’s Buchhandlung
publ_0210,Baumgärtner’sche Buchh
publ_0210,Baumgärtnersche Buchh
publ_0211,Bayer
publ_0212,Bayerhoffer
publ_0213,Bayrhoffer
publ_0214,Bayrhoffer (in Comm.)
publ_0215,Bayrhoffer Nachf
publ_0215,"Bayrhoffer, Nachf"
publ_0216,Bazar-Actien-Gesellschaft
publ_0217,Beatus
publ_0218,Becher
publ_0219,A. Bechers Verlag
publ_0220,Bechhold
publ_0221,H. Bechhold
publ_0222,Bechtold
publ_0223,Bechtold & Co
publ_0224,Bechthold u. H
publ_0224,Bechtold et H
publ_0224,Bechtold et Hartje
publ_0224,Bechtold u.
publ_0224,Bechtold u. H
publ_0224,Bechtold u. Hartje
publ_0224,Bechtold ud. H
publ_0225,Beck
publ_0226,Beck u. Fränkel
publ_0227,Beck u. Fränkel in Comm
publ_0228,Beck u. Sohn
publ_0229,Becker
publ_0230,Beckersche Buchh
publ_0231,Becker’sche Buchhandlung
publ_0232,Becker’sche Sort.-Buchh
publ_0233,Becker’sche Sort. Buchh. in Comm
publ_0234,Beckmann
publ_0235,F. Beck’s Universitätsbuchhandlung in
publ_0236,Beck’sche B
publ_0236,Beck’sche Buchh
